n, Avg, error
10,0.000001002074071,0.000000015651087
20,0.000002124609310,0.000000046338791
50,0.000005166869877,0.000000039402504
100,0.000010680159330,0.000000086318643
200,0.000021755112695,0.000000197303757
500,0.000063760904340,0.000000210286865
1000,0.000138096972062,0.000000429675959
2000,0.000288929007336,0.000001456139724
5000,0.000787089681373,0.000006793849835
10000,0.001641577296212,0.000013498793535
20000,0.003365098087899,0.000034343551523
50000,0.008518726930502,0.000054563938821
100000,0.017771197972973,0.000274749343209
